bases	meanCoverage	standardError	Sample	feature
-8	0.0480287274631555	0.00130992989157928	group1	Translation start site
-7	0.0482157552180744	0.00131234108336772	group1	Translation start site
-6	0.0482157552180744	0.00131234108336772	group1	Translation start site
-5	0.0479913219121718	0.00130944700052016	group1	Translation start site
-4	0.0481783496670906	0.00131185927934436	group1	Translation start site
-3	0.0480661330141393	0.00131041256475081	group1	Translation start site
-2	0.0481783496670906	0.00131185927934436	group1	Translation start site
-1	0.0482157552180744	0.00131234108336772	group1	Translation start site
0	0.0482531607690581	0.00131282267070228	group1	Translation start site
1	0.0483279718710257	0.00131378519625804	group1	Translation start site
2	0.0484027829729932	0.00131474685791322	group1	Translation start site
3	0.0486646218298796	0.001318105897773	group1	Translation start site
4	0.0485149996259445	0.00131618773472417	group1	Translation start site
5	0.0484027829729932	0.00131474685791322	group1	Translation start site
