bins	meanCoverage	standardError	feature	Sample
4	0.113572291582763	0.00467197075353613	fiveUTRs	group1
5	0.114881192106323	0.00470489641959563	fiveUTRs	group1
6	0.114444891931803	0.00464441261848858	fiveUTRs	group1
7	0.118371593502484	0.00475061079822133	fiveUTRs	group1
8	0.118203785743053	0.00485546336310763	fiveUTRs	group1
9	0.119244193851524	0.00490251930272487	fiveUTRs	group1
10	0.120519532823198	0.0049321711334416	fiveUTRs	group1
11	0.119747617129816	0.00491621872653739	fiveUTRs	group1
12	0.121392133172238	0.00495037496098134	fiveUTRs	group1
13	0.124412672841992	0.00502533723071201	fiveUTRs	group1
14	0.124110618875017	0.00499151578475316	fiveUTRs	group1
15	0.127970197341925	0.00509912801347109	fiveUTRs	group1
16	0.129245536313599	0.00509008789394751	fiveUTRs	group1
17	0.131762652705061	0.00512530968522923	fiveUTRs	group1
18	0.133306484091824	0.0051827672490328	fiveUTRs	group1
19	0.132232514431467	0.00502435107332506	fiveUTRs	group1
20	0.131729091153175	0.00509082784009912	fiveUTRs	group1
21	0.133004430124849	0.00507530910142835	fiveUTRs	group1
22	0.131896898912606	0.00504187930245498	fiveUTRs	group1
23	0.132333199087126	0.00503154317155366	fiveUTRs	group1
24	0.132635253054101	0.00506752657278773	fiveUTRs	group1
25	0.133675661162572	0.00510216676364872	fiveUTRs	group1
26	0.136394146865351	0.0051928840017627	fiveUTRs	group1
27	0.136864008591757	0.00525435986216675	fiveUTRs	group1
28	0.135487984964425	0.00520959654442016	fiveUTRs	group1
29	0.13753523962948	0.00527602219933234	fiveUTRs	group1
30	0.137870855148342	0.00526290206657943	fiveUTRs	group1
31	0.137400993421936	0.00526138799834258	fiveUTRs	group1
32	0.137031816351188	0.0052414417392354	fiveUTRs	group1
33	0.140018794469056	0.00532759242793408	fiveUTRs	group1
34	0.143341388105786	0.00537002115803259	fiveUTRs	group1
35	0.144784534836891	0.00536126814314516	fiveUTRs	group1
36	0.144717411733119	0.00540881141935527	fiveUTRs	group1
37	0.147368774332125	0.00545938160438197	fiveUTRs	group1
