bases	meanCoverage	standardError	feature	Sample
-74	0.024584954753736	0.000240449388675651	3PSS	group1
-73	0.024584954753736	0.000240449388675651	3PSS	group1
-72	0.0245941651891593	0.000240491317096561	3PSS	group1
-71	0.0245964677980152	0.000240501797932745	3PSS	group1
-70	0.0246079808422943	0.000240598272171379	3PSS	group1
-69	0.0246102834511502	0.000240674846533458	3PSS	group1
-68	0.0246171912777177	0.000240750312309317	3PSS	group1
-67	0.0246171912777177	0.000240750312309317	3PSS	group1
-66	0.0246310069308527	0.000240923179672565	3PSS	group1
-65	0.024584954753736	0.000240603692388572	3PSS	group1
-64	0.0246102834511502	0.000240718902109721	3PSS	group1
-63	0.0246079808422943	0.000240708431030921	3PSS	group1
-62	0.0246148886688618	0.000240739842748853	3PSS	group1
-61	0.024626401713141	0.000240792185492031	3PSS	group1
-60	0.0246194938865735	0.000240760781363801	3PSS	group1
-59	0.0246356121485643	0.000240922095454867	3PSS	group1
-58	0.0246632434548343	0.000241267453479197	3PSS	group1
-57	0.024667848672546	0.000241288344183862	3PSS	group1
-56	0.0246724538902577	0.000241309232877599	3PSS	group1
-55	0.0246839669345368	0.000241405376092057	3PSS	group1
-54	0.0247046904142393	0.000241499310655704	3PSS	group1
-53	0.0247254138939418	0.000241680972913571	3PSS	group1
-52	0.024723111285086	0.000241714420142369	3PSS	group1
-51	0.0247185060673743	0.000241759370582882	3PSS	group1
-50	0.0247300191116535	0.0002418114812785	3PSS	group1
-49	0.0247115982408068	0.000241750030988721	3PSS	group1
-48	0.0247484399825002	0.000241916750121767	3PSS	group1
-47	0.024792189550761	0.000242355330365885	3PSS	group1
-46	0.0247898869419052	0.000242323054996119	3PSS	group1
-45	0.0248013999861844	0.000242375036692096	3PSS	group1
-44	0.0248359391190219	0.000242530907381887	3PSS	group1
-43	0.0248704782518594	0.000242686666641687	3PSS	group1
-42	0.0248635704252919	0.000242633672724173	3PSS	group1
-41	0.0248681756430035	0.000242654437053445	3PSS	group1
-40	0.0248842939049944	0.00024277077978817	3PSS	group1
-39	0.0248819912961385	0.000242760403198364	3PSS	group1
-38	0.0248681756430035	0.000242654437053445	3PSS	group1
-37	0.0248704782518594	0.00024266481847633	3PSS	group1
-36	0.0249096226024085	0.000242863059367007	3PSS	group1
-35	0.0249142278201202	0.000242883802075246	3PSS	group1
-34	0.0249142278201202	0.000242927457051551	3PSS	group1
-33	0.0249349512998227	0.000243129819341067	3PSS	group1
-32	0.0249810034769394	0.000243489393232654	3PSS	group1
-31	0.0249902139123627	0.000243530763769765	3PSS	group1
-30	0.024971793041516	0.000243448014862835	3PSS	group1
-29	0.0249671878238044	0.000243427322739412	3PSS	group1
-28	0.0249671878238044	0.000243427322739412	3PSS	group1
-27	0.0250339634806236	0.00024394460911903	3PSS	group1
-26	0.0250615947868936	0.000244111895127187	3PSS	group1
-25	0.0250708052223169	0.000244153153184005	3PSS	group1
-24	0.0250662000046052	0.00024413252512718	3PSS	group1
-23	0.0250800156577402	0.000244194403470118	3PSS	group1
-22	0.0250869234843077	0.000244225336087545	3PSS	group1
-21	0.0251214626171452	0.000244488388667108	3PSS	group1
-20	0.0251283704437127	0.000244519281398155	3PSS	group1
-19	0.0251375808791361	0.000244560464937015	3PSS	group1
-18	0.0251467913145594	0.000244579963641288	3PSS	group1
-17	0.0251629095765502	0.000244652009090134	3PSS	group1
-16	0.0251767252296852	0.000244843706263684	3PSS	group1
-15	0.0251790278385411	0.000244897291958276	3PSS	group1
-14	0.0251905408828202	0.000244948685248591	3PSS	group1
-13	0.0251997513182436	0.00024501143206435	3PSS	group1
-12	0.0252388956687927	0.000245186031258011	3PSS	group1
-11	0.0252527113219277	0.000245312469956353	3PSS	group1
-10	0.0252803426281977	0.000245435565935547	3PSS	group1
-9	0.0252826452370536	0.000245445820823849	3PSS	group1
-8	0.0252918556724769	0.000245486835595899	3PSS	group1
-7	0.0253194869787469	0.000245609834045473	3PSS	group1
-6	0.0253310000230261	0.000245617893994277	3PSS	group1
-5	0.0253701443735753	0.000246007631318652	3PSS	group1
-4	0.0253747495912869	0.000246028089058254	3PSS	group1
-3	0.0253770522001428	0.000246038317215739	3PSS	group1
-2	0.0254346174215386	0.000246293866996805	3PSS	group1
-1	0.0254714591632319	0.000246457263548646	3PSS	group1
0	0.0257362591816528	0.00024790632211063	3PSS	group1
1	0.0259089548458403	0.000248814966399601	3PSS	group1
2	0.0260494139860462	0.000249472872765984	3PSS	group1
3	0.0261415183402795	0.000249875421644484	3PSS	group1
4	0.0262980957424762	0.000250642720628356	3PSS	group1
5	0.0264592783623846	0.000251364154925319	3PSS	group1
6	0.0265582905431854	0.000251793244393369	3PSS	group1
7	0.0267332888162288	0.000252549633527285	3PSS	group1
8	0.0269428262221097	0.000253514724335379	3PSS	group1
9	0.0271017062331622	0.00025419634773217	3PSS	group1
10	0.0272237445025214	0.000254822574765729	3PSS	group1
11	0.0273434801630247	0.000255291984010762	3PSS	group1
12	0.0274931497386539	0.000255991292985403	3PSS	group1
13	0.0276151880080131	0.000256654030898484	3PSS	group1
14	0.0277372262773723	0.000257191267822794	3PSS	group1
15	0.027879988026434	0.000257917457580211	3PSS	group1
16	0.028073407170324	0.000258731259493737	3PSS	group1
17	0.0281793271776923	0.000259339295558559	3PSS	group1
18	0.0283336019710332	0.000259984672924187	3PSS	group1
19	0.0285224158972115	0.00026085339348241	3PSS	group1
20	0.0286789932994082	0.000261564942430751	3PSS	group1
21	0.0288678072255866	0.000262427859641549	3PSS	group1
22	0.0290704368049	0.000263243846119558	3PSS	group1
23	0.0293237237790417	0.000264264798798038	3PSS	group1
24	0.02956780031776	0.000265383541968786	3PSS	group1
25	0.0297589168527942	0.000266321641131384	3PSS	group1
26	0.0298763499044417	0.000266738977032333	3PSS	group1
27	0.0300835847014668	0.000267717164437067	3PSS	group1
28	0.030247069930231	0.00026843625794253	3PSS	group1
29	0.030426673420986	0.000269158856504334	3PSS	group1
30	0.0307098943102535	0.00027035269642826	3PSS	group1
31	0.0308664717124502	0.00027097770614891	3PSS	group1
32	0.0310460752032052	0.000271751140730284	3PSS	group1
33	0.0313085726127703	0.000272850207665143	3PSS	group1
34	0.0315227152363628	0.000273773188011523	3PSS	group1
35	0.0317092265536853	0.000274506951198893	3PSS	group1
36	0.0319279743949895	0.000275422433200809	3PSS	group1
37	0.0321236961477354	0.000276244699919721	3PSS	group1
38	0.0323378387713279	0.00027705925870164	3PSS	group1
39	0.0324852057381013	0.000277593151322937	3PSS	group1
40	0.0327154666236846	0.0002785034903745	3PSS	group1
41	0.0328697414170255	0.000279231730947723	3PSS	group1
42	0.0331276336088789	0.000280260954983038	3PSS	group1
43	0.0333440788413272	0.000281089779105183	3PSS	group1
44	0.0335029588523798	0.000281696375558104	3PSS	group1
45	0.0335858527711898	0.000282049859722131	3PSS	group1
46	0.0337815745239356	0.000282850219330117	3PSS	group1
47	0.0339588754058348	0.000283559614124248	3PSS	group1
48	0.0341384788965898	0.000284294323276153	3PSS	group1
49	0.034288148472219	0.000284858406185337	3PSS	group1
50	0.0345345276197932	0.000285784155394836	3PSS	group1
51	0.0346289345828824	0.000286156487566335	3PSS	group1
52	0.0348223537267724	0.000286879719636685	3PSS	group1
53	0.0350249833060858	0.000287653552218508	3PSS	group1
54	0.0352184024499758	0.000288390803476428	3PSS	group1
55	0.0353473485459025	0.000288887211172549	3PSS	group1
56	0.0354693868152617	0.000289393745514166	3PSS	group1
57	0.03563056943517	0.000289988781143776	3PSS	group1
58	0.0358838564093118	0.000290902737222583	3PSS	group1
59	0.0360611572912109	0.000291553230294933	3PSS	group1
60	0.0362499712173893	0.000292389202328781	3PSS	group1
61	0.0364295747081443	0.00029304427311382	3PSS	group1
62	0.0365493103686477	0.000293552289284904	3PSS	group1
63	0.0367289138594027	0.000294204349598757	3PSS	group1
64	0.0369039121324461	0.000294838061007916	3PSS	group1
65	0.0371134495383269	0.000295594745958985	3PSS	group1
66	0.0373575260770453	0.000296473294234652	3PSS	group1
67	0.0376085104423312	0.00029737351927158	3PSS	group1
68	0.0377835087153745	0.000298088248987634	3PSS	group1
69	0.0379631122061295	0.000298710950752337	3PSS	group1
70	0.0381634391765871	0.000299423433431761	3PSS	group1
71	0.0383038983167929	0.000299921797109754	3PSS	group1
72	0.0385571852909346	0.000300870888562748	3PSS	group1
73	0.038704552257708	0.000301425963976381	3PSS	group1
74	0.0388542218333372	0.000301847460857348	3PSS	group1
75	0.0390568514126505	0.000302559276492765	3PSS	group1
76	0.0392755992539547	0.000303290527663078	3PSS	group1
77	0.0394298740472956	0.000303829591266613	3PSS	group1
78	0.0396509244974556	0.00030442588980996	3PSS	group1
79	0.0398190149439315	0.00030497574184297	3PSS	group1
80	0.0400400653940915	0.000305742619247571	3PSS	group1
81	0.040185129752009	0.000306244639247521	3PSS	group1
82	0.0403555228073407	0.000306833062833493	3PSS	group1
83	0.0406042045637708	0.000307689433638839	3PSS	group1
84	0.0407446637039766	0.00030813745729323	3PSS	group1
85	0.0408828202353266	0.000308645515793284	3PSS	group1
86	0.0410923576412075	0.000309396500627555	3PSS	group1
87	0.0412190011282783	0.000309828666817901	3PSS	group1
88	0.0414791959289875	0.000310748438883435	3PSS	group1
89	0.0416265628957609	0.000311248648698431	3PSS	group1
90	0.0418545211724884	0.00031200352244035	3PSS	group1
91	0.0420985977112068	0.000312827475252447	3PSS	group1
92	0.042248267286836	0.000313297596398832	3PSS	group1
93	0.0425015542609777	0.000314165214730071	3PSS	group1
94	0.0426604342720302	0.000314781648288352	3PSS	group1
95	0.0428929977664694	0.00031557531577881	3PSS	group1
96	0.0430334569066753	0.000316144012692635	3PSS	group1
97	0.0431923369177278	0.000316672277496431	3PSS	group1
98	0.0433097699693753	0.000317045327788874	3PSS	group1
99	0.0434870708512745	0.00031768281700883	3PSS	group1
100	0.0435952934674987	0.000318023996937255	3PSS	group1
