bins	meanCoverage	standardError	feature	Sample
68	0.0707442888725129	0.003538736980725	fiveUTRs	group1
69	0.0726200844107992	0.00357595157811925	fiveUTRs	group1
70	0.0723186172707175	0.00359664857411632	fiveUTRs	group1
71	0.0740939237623099	0.00364333437155753	fiveUTRs	group1
72	0.0737589602733302	0.00367056179341322	fiveUTRs	group1
73	0.075098814229249	0.00363802171981629	fiveUTRs	group1
74	0.0752327996248409	0.00365331789160409	fiveUTRs	group1
75	0.0768071280230455	0.00372868626359532	fiveUTRs	group1
76	0.0783479600723521	0.00387490541421303	fiveUTRs	group1
77	0.0800897702150466	0.00392178659253306	fiveUTRs	group1
78	0.0839083539894152	0.00474461110283147	fiveUTRs	group1
79	0.0825350036845984	0.00425432300886601	fiveUTRs	group1
80	0.0825685000334964	0.00389191263344567	fiveUTRs	group1
81	0.0832384270114558	0.00387583313047008	fiveUTRs	group1
82	0.0824345146379045	0.00375764994966694	fiveUTRs	group1
83	0.0830374489180679	0.00380527700279256	fiveUTRs	group1
84	0.0857171568299055	0.00394292207647916	fiveUTRs	group1
85	0.0883968647417431	0.0040667677605844	fiveUTRs	group1
86	0.0891672807663965	0.00409576084043742	fiveUTRs	group1
87	0.0891672807663965	0.00406717001408872	fiveUTRs	group1
88	0.0895692369531721	0.00404335479735622	fiveUTRs	group1
89	0.0910430763046828	0.00411678861479819	fiveUTRs	group1
90	0.0913445434447645	0.00408221433682426	fiveUTRs	group1
91	0.0929523681918671	0.0041015673178943	fiveUTRs	group1
92	0.0944932002411737	0.00418113827377259	fiveUTRs	group1
93	0.097541367990889	0.00429126133959869	fiveUTRs	group1
94	0.0988477255979098	0.00455376912219904	fiveUTRs	group1
95	0.0989147182957058	0.0045307471160106	fiveUTRs	group1
96	0.0995511489247672	0.00452197539716724	fiveUTRs	group1
97	0.101862396998727	0.00453103581978569	fiveUTRs	group1
98	0.101694915254237	0.00444175268043451	fiveUTRs	group1
99	0.106317411402157	0.00449988921942206	fiveUTRs	group1
100	0.094158236752194	0.00408309623956399	fiveUTRs	group1
1	0.341865451621549	0.01710188240913	cds	group1
2	0.359923612972393	0.0171538111931215	cds	group1
3	0.362168319485393	0.0169243137267709	cds	group1
4	0.364982578397213	0.0165659130396606	cds	group1
5	0.376474135620477	0.0173879894624905	cds	group1
6	0.376072098633074	0.0167828037734242	cds	group1
7	0.382236665773251	0.0173335969472681	cds	group1
8	0.402606539801662	0.0185438619562493	cds	group1
9	0.412389439828464	0.0197274989066197	cds	group1
10	0.435071026534441	0.0207005391747902	cds	group1
11	0.430849638166711	0.0198197563120174	cds	group1
12	0.414299115518628	0.0184565480471171	cds	group1
13	0.425589654248191	0.0193909043922251	cds	group1
14	0.423914500134012	0.0202014249185745	cds	group1
15	0.423880997051729	0.0191835513539783	cds	group1
16	0.433429375502546	0.0201832612558766	cds	group1
17	0.443145269364782	0.0205906403759437	cds	group1
18	0.45383275261324	0.0206473357534659	cds	group1
19	0.451454033771107	0.0213613949317774	cds	group1
20	0.43966094880729	0.0203417428744687	cds	group1
21	0.447936210131332	0.0200663357617454	cds	group1
22	0.437952291610828	0.0196128591526151	cds	group1
23	0.419190565532029	0.0187204463902249	cds	group1
24	0.42022916108282	0.0193830686114611	cds	group1
25	0.400395336370946	0.0179824974317425	cds	group1
26	0.400797373358349	0.0179370090974496	cds	group1
27	0.393460198338247	0.0173421151528882	cds	group1
28	0.401266416510319	0.018349325946289	cds	group1
29	0.415438220316269	0.0183954398063095	cds	group1
30	0.422038327526132	0.018774617470801	cds	group1
31	0.409407665505227	0.0184161893936852	cds	group1
32	0.405889841865452	0.0186667210216159	cds	group1
33	0.401232913428035	0.0181547966974712	cds	group1
34	0.397547574376843	0.0183101841310734	cds	group1
35	0.392689627445725	0.0180542143300918	cds	group1
36	0.390243902439024	0.0182195277586061	cds	group1
37	0.398385151433932	0.0187653845227942	cds	group1
38	0.407933529884749	0.0192811358519157	cds	group1
39	0.412556955239882	0.0192870373689445	cds	group1
40	0.415907263468239	0.0192521779907776	cds	group1
41	0.421837309032431	0.0191772481019046	cds	group1
42	0.417314392924149	0.0196887413575636	cds	group1
43	0.436176628249799	0.0211018282076637	cds	group1
44	0.420597694987939	0.0197988623154012	cds	group1
45	0.414868667917448	0.0194244775724449	cds	group1
46	0.428336906995444	0.0204757076141482	cds	group1
47	0.441738139908872	0.0205516571669472	cds	group1
48	0.458925221120343	0.0219695436742951	cds	group1
49	0.453464218708121	0.0220410527859354	cds	group1
50	0.449242830340391	0.0218714161919604	cds	group1
51	0.455507906727419	0.022223977557392	cds	group1
52	0.470081747520772	0.023301905296886	cds	group1
53	0.462074510854999	0.0226537919625924	cds	group1
54	0.464587242026266	0.0232560798467293	cds	group1
55	0.427398820691504	0.0210708000268355	cds	group1
56	0.445255963548647	0.0228844980614691	cds	group1
57	0.439761458054141	0.0217431081213916	cds	group1
58	0.42689627445725	0.0212524702153139	cds	group1
59	0.439727954971857	0.0222782242853432	cds	group1
60	0.435272045028143	0.0217773411175759	cds	group1
61	0.44200616456714	0.0221143745691173	cds	group1
62	0.455809434467971	0.0228172286801501	cds	group1
63	0.457920128651836	0.0227427595778483	cds	group1
64	0.457719110158135	0.0228320052508406	cds	group1
65	0.458858214955776	0.0217379911125626	cds	group1
66	0.461303939962477	0.020584855232926	cds	group1
67	0.471589386223533	0.0215360395823061	cds	group1
68	0.465759849906191	0.0217791466587902	cds	group1
69	0.457987134816403	0.0218123724936126	cds	group1
70	0.470450281425891	0.022910710034655	cds	group1
71	0.470215759849906	0.0224857007669282	cds	group1
72	0.465290806754221	0.022338164353086	cds	group1
73	0.472091932457786	0.0225890288892703	cds	group1
74	0.473834092736532	0.0227642789451013	cds	group1
75	0.474403645135353	0.0226168812754254	cds	group1
76	0.46978021978022	0.0218680707114074	cds	group1
77	0.468473599571161	0.0222427440328534	cds	group1
78	0.467334494773519	0.0223446986655124	cds	group1
79	0.478457518091665	0.0227027706631643	cds	group1
80	0.482846421870812	0.0227469561796829	cds	group1
81	0.495611096220852	0.022949663834641	cds	group1
82	0.518259179844546	0.0236808447253262	cds	group1
83	0.535010720986331	0.0238569801186794	cds	group1
84	0.541376306620209	0.0237506310530618	cds	group1
85	0.558663897078531	0.0245959481906544	cds	group1
86	0.572534173143929	0.0250451100232491	cds	group1
87	0.581982042347896	0.0252492000082969	cds	group1
88	0.592636022514071	0.0250485361458966	cds	group1
89	0.602921468775127	0.024626609837492	cds	group1
90	0.591831948539266	0.0223140878133521	cds	group1
91	0.592066470115251	0.0224847891910558	cds	group1
92	0.632337175020102	0.0252884220344055	cds	group1
93	0.612771374966497	0.0227539918308321	cds	group1
94	0.638903779147682	0.0236092572453553	cds	group1
95	0.693145269364782	0.0259972842095427	cds	group1
96	0.715525328330207	0.0258271920444008	cds	group1
97	0.766416510318949	0.0272143943695785	cds	group1
98	0.800321629589922	0.0276769281278969	cds	group1
