bases	meanCoverage	standardError	Sample	feature
50	0.0273342354533153	0.000848269664193747	group1	Translation start site
51	0.027361299052774	0.000848677688663445	group1	Translation start site
52	0.0274966170500677	0.000850714526010463	group1	Translation start site
53	0.0277401894451962	0.000854367134800282	group1	Translation start site
54	0.0279025710419486	0.000856792515413462	group1	Translation start site
55	0.0277672530446549	0.000854771900791027	group1	Translation start site
56	0.0276860622462788	0.00085355695731391	group1	Translation start site
57	0.0275236806495264	0.000851121238680767	group1	Translation start site
58	0.0275507442489851	0.000851527733814847	group1	Translation start site
59	0.0277672530446549	0.000854771900791027	group1	Translation start site
60	0.02765899864682	0.000853151545205293	group1	Translation start site
61	0.0276860622462788	0.00085355695731391	group1	Translation start site
62	0.0275236806495264	0.000851121238680767	group1	Translation start site
63	0.0275507442489851	0.000851527733814847	group1	Translation start site
64	0.02765899864682	0.000853151545205293	group1	Translation start site
65	0.0277401894451962	0.000854367134800282	group1	Translation start site
66	0.0276860622462788	0.00085355695731391	group1	Translation start site
67	0.0272530446549391	0.000847044271088963	group1	Translation start site
68	0.0272530446549391	0.000847044271088963	group1	Translation start site
69	0.0270094722598106	0.000843356139649867	group1	Translation start site
70	0.0272530446549391	0.000847044271088963	group1	Translation start site
71	0.0271989174560217	0.000846226239420588	group1	Translation start site
72	0.0269282814614344	0.000842122749381303	group1	Translation start site
73	0.0269824086603518	0.000842945233597358	group1	Translation start site
74	0.0269012178619756	0.000841711170560999	group1	Translation start site
75	0.0269824086603518	0.000842945233597358	group1	Translation start site
76	0.0269282814614344	0.000842122749381303	group1	Translation start site
77	0.0269553450608931	0.00084253410361716	group1	Translation start site
78	0.0270094722598106	0.000843356139649867	group1	Translation start site
79	0.027063599458728	0.000844177281279606	group1	Translation start site
80	0.0269824086603518	0.000842945233597358	group1	Translation start site
81	0.0268741542625169	0.000841299366826634	group1	Translation start site
82	0.0269282814614344	0.000842122749381303	group1	Translation start site
83	0.0269824086603518	0.000842945233597358	group1	Translation start site
84	0.0269553450608931	0.00084253410361716	group1	Translation start site
85	0.0270094722598106	0.000843356139649867	group1	Translation start site
86	0.0271718538565629	0.000845816891747072	group1	Translation start site
87	0.027063599458728	0.000844177281279606	group1	Translation start site
88	0.0273342354533153	0.000848269664193747	group1	Translation start site
89	0.0272530446549391	0.000847044271088963	group1	Translation start site
90	0.0270906630581867	0.000844587517508701	group1	Translation start site
91	0.0264140730717185	0.000834263968049457	group1	Translation start site
92	0.0264952638700947	0.000835510312002343	group1	Translation start site
93	0.0265764546684709	0.000836754586318871	group1	Translation start site
94	0.0265493910690122	0.000836340057602433	group1	Translation start site
95	0.026468200270636	0.000835095094434933	group1	Translation start site
96	0.0263870094722598	0.000833848058542396	group1	Translation start site
97	0.0265493910690122	0.000836340057602433	group1	Translation start site
98	0.0265493910690122	0.000836340057602433	group1	Translation start site
99	0.0263599458728011	0.000833431917698326	group1	Translation start site
100	0.02617050067659	0.000830512425118644	group1	Translation start site
-100	0.0530717185385656	0.00116624226078927	group1	Translation end site
-99	0.0532070365358593	0.0011676446712486	group1	Translation end site
-98	0.0533423545331529	0.00116904497543585	group1	Translation end site
-97	0.0535047361299053	0.0011707225708222	group1	Translation end site
-96	0.0536941813261164	0.00117267596308232	group1	Translation end site
-95	0.0538836265223275	0.00117462527995094	group1	Translation end site
-94	0.0537483085250338	0.00117323332572619	group1	Translation end site
-93	0.0538565629228687	0.00117434705485669	group1	Translation end site
-92	0.0537753721244926	0.00117351188243981	group1	Translation end site
-91	0.0538565629228687	0.00117434705485669	group1	Translation end site
-90	0.0542354533152909	0.00117823469655317	group1	Translation end site
-89	0.0541542625169147	0.00117740298889841	group1	Translation end site
-88	0.0543437077131258	0.00117934249237109	group1	Translation end site
-87	0.0545602165087957	0.00118155416279106	group1	Translation end site
-86	0.054830852503383	0.00118431143627755	group1	Translation end site
-85	0.055020297699594	0.00118623672009772	group1	Translation end site
-84	0.055020297699594	0.00118623672009772	group1	Translation end site
-83	0.0552909336941813	0.00118898030042214	group1	Translation end site
-82	0.0556156968876861	0.00119226206848658	group1	Translation end site
-81	0.055723951285521	0.001193353454068	group1	Translation end site
-80	0.0557780784844384	0.00119389867310949	group1	Translation end site
-79	0.0558051420838972	0.00119417116438224	group1	Translation end site
-78	0.0561299052774019	0.00119743493173278	group1	Translation end site
-77	0.0561299052774019	0.00119743493173278	group1	Translation end site
-76	0.0565087956698241	0.00120122844915179	group1	Translation end site
-75	0.0564276048714479	0.00120041683424001	group1	Translation end site
-74	0.0568876860622463	0.00120500679988556	group1	Translation end site
-73	0.0569688768606225	0.0012058144869563	group1	Translation end site
-72	0.0569688768606225	0.0012058144869563	group1	Translation end site
-71	0.0570230040595399	0.00120635256241544	group1	Translation end site
-70	0.0572665764546685	0.0012087701261573	group1	Translation end site
-69	0.0574018944519621	0.00121011055683037	group1	Translation end site
-68	0.0572936400541272	0.00120903836397137	group1	Translation end site
-67	0.0574830852503383	0.00121091390656749	group1	Translation end site
-66	0.057807848443843	0.00121412052056264	group1	Translation end site
-65	0.0579972936400541	0.00121598605629706	group1	Translation end site
-64	0.0579972936400541	0.00121598605629706	group1	Translation end site
-63	0.0579972936400541	0.00121598605629706	group1	Translation end site
-62	0.0582408660351827	0.00121837923360388	group1	Translation end site
-61	0.0584844384303112	0.00122076640407841	group1	Translation end site
-60	0.05851150202977	0.00122103127598137	group1	Translation end site
-59	0.0588903924221921	0.00122473176837945	group1	Translation end site
-58	0.0587550744248985	0.00122341181343075	group1	Translation end site
-57	0.0588633288227334	0.00122446792359886	group1	Translation end site
-56	0.0590257104194858	0.00122604989807348	group1	Translation end site
-55	0.0590798376184032	0.00122657664019818	group1	Translation end site
-54	0.0591610284167794	0.00122736620839353	group1	Translation end site
-53	0.0590798376184032	0.00122657664019818	group1	Translation end site
-52	0.0591610284167794	0.00122736620839353	group1	Translation end site
-51	0.0591610284167794	0.00122736620839353	group1	Translation end site
-50	0.0592422192151556	0.00122815512371994	group1	Translation end site
-49	0.0592692828146143	0.00122841795063086	group1	Translation end site
-48	0.0593775372124493	0.00122946853519045	group1	Translation end site
-47	0.0597564276048714	0.00123313650712627	group1	Translation end site
-46	0.0601082543978349	0.00123652992521392	group1	Translation end site
-45	0.0601894451962111	0.00123731131553136	group1	Translation end site
-44	0.0604600811907984	0.00123991135430411	group1	Translation end site
-43	0.0606495263870095	0.00124172719229856	group1	Translation end site
-42	0.0609472259810555	0.00124457372250293	group1	Translation end site
-41	0.061596752368065	0.00125075519113646	group1	Translation end site
-40	0.0618403247631935	0.00125306303104254	group1	Translation end site
-39	0.0619215155615697	0.00125383108245994	group1	Translation end site
-38	0.0619215155615697	0.00125383108245994	group1	Translation end site
-37	0.0620027063599459	0.0012545985214827	group1	Translation end site
-36	0.0620297699594046	0.00125485419859682	group1	Translation end site
-35	0.0620027063599459	0.0012545985214827	group1	Translation end site
-34	0.0619485791610284	0.00125408696345584	group1	Translation end site
-33	0.0617861975642761	0.00125255065598876	group1	Translation end site
-32	0.0620568335588633	0.00125510980783342	group1	Translation end site
-31	0.0623004059539919	0.00125740724330095	group1	Translation end site
-30	0.0624357239512855	0.00125868123314395	group1	Translation end site
-29	0.062489851150203	0.00125919035797318	group1	Translation end site
-28	0.0626792963464141	0.0012609701808805	group1	Translation end site
-27	0.0629499323410014	0.00126350710240203	group1	Translation end site
-26	0.0631935047361299	0.00126578464549477	group1	Translation end site
-25	0.0634912043301759	0.00126856103737567	group1	Translation end site
-24	0.063680649526387	0.00127032368973952	group1	Translation end site
-23	0.0639242219215156	0.00127258524810976	group1	Translation end site
